"POSITION HOLDER
DETENTEUR DE LA POSITION","NOM DE LՃMETTEUR
NAME OF THE ISSUER",ISIN,"POSITION COURTE NETTE DETENUE EN %
NET SHORT POSITION SIZE IN PERCENTAGE","DATE DE POSITION (AAAA-MM-JJ)
POSITION DATE (YYYY-MM-DD)"
"PUBLIC EQUITY PARTNERS
MANAGEMENT, L.P.",BOURBON,FR0004548873,1.60,2015-10-08
LAZARD ASSET MANAGEMENT LIMITED,NACON,FR0013482791,0.59,2022-03-02
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,0.78,2019-06-21
LAZARD ASSET MANAGEMENT LIMITED,NACON,FR0013482791,0.46,2022-10-03
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,2.91,2020-10-13
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.16,2022-11-25
SQUAREPOINT OPS LLC,TECHNICOLOR,FR0013505062,0.04,2020-09-22
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,0.66,2019-12-18
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",ELIOR GROUP,FR0011950732,0.80,2023-09-27
NATIXIS SA,NEXANS,FR0000044448,0.70,2022-07-01
KINTBURY CAPITAL LLP,VALEO,FR0013176526,0.50,2023-09-07
ARROWSTREET CAPITAL,MC PHY ENERGY,FR0011742329,0.52,2021-03-22
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,2.19,2023-10-27
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.28,2023-03-15
VOLEON CAPITAL MANAGEMENT LP,NAVYA,FR0013018041,0.87,2021-06-01
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,1.88,2023-10-27
MARSHALL WACE LLP,RENAULT,FR0000131906,1.42,2022-08-04
GSA CAPITAL PARTNERS LLP,SMCP,FR0013214145,0.46,2023-11-07
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,0.40,2020-10-28
CQS UK LLP,GENFIT,FR0004163111,0.00,2020-05-12
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR001400J770,0.98,2023-10-09
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,3.60,2023-02-17
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.64,2023-02-17
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,0.61,2023-11-30
VOLEON CAPITAL MANAGEMENT LP,GENFIT,FR0004163111,0.48,2020-11-05
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",EUROFINS SCIENTIFIC SE,FR0000038259,0.49,2020-08-17
PSQUARED ASSET MANAGEMENT AG,SES IMAGOTAG,FR0010282822,2.14,2023-03-20
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.26,2023-11-29
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.70,2023-08-30
MARSHALL WACE LLP,RENAULT,FR0000131906,0.56,2022-03-24
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.99,2022-11-22
AKO CAPITAL LLP,ALSTOM,FR0010220475,1.01,2023-11-15
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.63,2022-08-04
MARSHALL WACE LLP,ALSTOM,FR0010220475,0.93,2023-11-15
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.73,2023-10-10
CREDIT INDUSTRIEL ET COMMERCIAL,VALLOUREC,FR0013506730,0.60,2023-07-19
"ANCHOR BOLT CAPITAL, LP",FAURECIA,FR0000121147,0.61,2018-12-28
VOLEON CAPITAL MANAGEMENT LP,AMOEBA,FR0011051598,0.47,2021-03-16
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",TELEVISION FRANCAISE 1,FR0000054900,2.44,2023-09-13
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.51,2022-10-05
MILLENNIUM CAPITAL PARTNERS LLP,CASINO GUICHARD-PERRACHON,FR0000125585,0.70,2023-09-07
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.68,2023-04-18
RENAISSANCE TECHNOLOGIES LLC,NEOVACS,FR0004032746,0.76,2021-01-15
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,0.63,2017-10-11
MARSHALL WACE LLP,ERAMET,FR0000131757,1.28,2020-03-10
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,0.78,2019-06-28
MARSHALL WACE LLP,RENAULT,FR0000131906,1.10,2023-11-29
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,0.77,2019-12-12
BG Master Fund ICAV,ORPEA,FR0000184798,0.74,2023-08-17
MARSHALL WACE LLP,TELEPERFORMANCE,FR0000051807,1.01,2023-09-11
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.11,2022-11-17
NATIXIS SA,ALBIOMA,FR0000060402,0.87,2022-07-27
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",EUROAPI,FR0014008VX5,0.65,2022-12-13
GSA CAPITAL PARTNERS LLP,CELLECTIS,FR0010425595,0.60,2022-04-27
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.99,2022-12-01
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,1.04,2023-09-04
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,1.17,2019-10-01
MARSHALL WACE LLP,EUROAPI,FR0014008VX5,0.70,2023-11-06
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,2.79,2023-08-28
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,2.84,2023-03-21
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.54,2022-09-05
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",EUROAPI,FR0014008VX5,1.04,2023-03-08
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,2.76,2023-07-25
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.88,2022-06-27
MILLENNIUM CAPITAL PARTNERS LLP,EUROPCAR MOBILITY GROUP,FR0012789949,0.00,2021-02-18
MARSHALL WACE LLP,ERAMET,FR0000131757,1.21,2019-12-18
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,1.42,2023-09-26
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,0.98,2022-07-27
CREDIT INDUSTRIEL ET COMMERCIAL,VALLOUREC,FR0013506730,0.57,2023-10-02
SYQUANT CAPITAL,SMCP,FR0013214145,0.32,2020-03-16
MARSHALL WACE LLP,RENAULT,FR0000131906,1.23,2022-04-25
MARSHALL WACE LLP,ERAMET,FR0000131757,1.32,2019-12-27
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,2.48,2021-03-05
MARSHALL WACE LLP,RENAULT,FR0000131906,1.47,2022-10-24
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.64,2022-07-05
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.82,2023-01-06
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,0.59,2022-11-25
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.77,2022-10-13
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,1.30,2020-07-27
MARSHALL WACE LLP,RENAULT,FR0000131906,1.59,2022-09-14
MARSHALL WACE LLP,CGG,FR0013181864,2.02,2023-11-03
AKO CAPITAL LLP,ALSTOM,FR0010220475,0.53,2022-05-30
"AQR CAPITAL MANAGEMENT, LLC",TECHNICOLOR,FR0010918292,0.50,2020-02-27
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,0.84,2022-02-01
MARSHALL WACE LLP,ARKEMA,FR0010313833,0.60,2023-11-13
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,2.48,2023-11-06
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.13,2023-02-06
CAPITAL FUND MANAGEMENT SA,ERAMET,FR0000131757,0.49,2020-03-11
"AQR CAPITAL MANAGEMENT, LLC",WORLDLINE,FR0011981968,0.49,2020-05-22
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.58,2023-07-05
AKO CAPITAL LLP,ALSTOM,FR0010220475,0.61,2022-06-10
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,1.67,2022-07-29
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.97,2023-06-27
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.06,2022-05-10
MARSHALL WACE LLP,ERAMET,FR0000131757,0.89,2020-06-05
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.10,2022-12-28
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.63,2022-09-23
"JANE STREET GROUP, LLC",TECHNICOLOR,FR0013505062,0.40,2020-09-21
"BALYASNY ASSET MANAGEMENT, L.P.",L'OREAL,FR0000120321,0.38,2013-01-30
"MILLENNIUM INTERNATIONAL
MANAGEMENT LP",ICADE,FR0000035081,0.00,2020-11-30
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,0.80,2019-06-24
AKO CAPITAL LLP,EIFFAGE,FR0000130452,0.70,2023-09-21
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.63,2023-03-13
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.82,2023-03-22
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.09,2022-06-15
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,0.64,2023-10-02
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.86,2023-08-21
AKO CAPITAL LLP,ALSTOM,FR0010220475,1.22,2023-03-08
CITADEL ADVISORS LLC,MAISONS DU MONDE,FR0013153541,0.60,2023-03-15
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.94,2022-12-15
POINT72 EUROPE (LONDON) LLP,KLEPIERRE,FR0000121964,0.54,2022-03-04
GREENVALE CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.81,2023-11-16
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.19,2023-03-09
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.39,2023-09-08
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,1.84,2023-07-12
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.01,2019-10-10
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,2.72,2022-12-16
CITADEL ADVISORS LLC,TECHNICOLOR,FR0010918292,0.61,2020-02-14
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,2.00,2022-10-12
MARSHALL WACE LLP,ERAMET,FR0000131757,0.99,2020-05-26
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.20,2023-03-23
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,1.00,2022-07-27
CITADEL ADVISORS LLC,MAISONS DU MONDE,FR0013153541,0.59,2023-06-21
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",TELEVISION FRANCAISE 1,FR0000054900,0.96,2022-05-18
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,1.24,2023-04-25
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.97,2023-07-12
ETON PARK INTERNATIONAL LLP,INGENICO,FR0000125346,0.62,2016-10-27
MELQART ASSET MANAGEMENT (UK) LTD,ATOS SE,FR0000051732,1.42,2023-10-27
NATIXIS SA,NEXANS,FR0000044448,0.55,2022-07-06
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.87,2023-02-06
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.33,2022-11-09
"AQR CAPITAL MANAGEMENT, LLC",JCDECAUX SA,FR0000077919,0.49,2020-06-04
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",NOVACYT,FR0010397232,0.48,2020-12-02
"MILLENNIUM INTERNATIONAL
MANAGEMENT LP",MERCIALYS,FR0010241638,0.40,2020-11-11
GSA CAPITAL PARTNERS LLP,CELLECTIS,FR0010425595,0.70,2022-09-26
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",TELEVISION FRANCAISE 1,FR0000054900,2.70,2023-09-14
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.01,2022-07-21
MILLENNIUM CAPITAL PARTNERS LLP,ATOS SE,FR0000051732,0.62,2023-08-23
KINTBURY CAPITAL LLP,VALEO,FR0013176526,0.80,2023-10-02
MARSHALL WACE LLP,JCDECAUX SA,FR0000077919,0.46,2020-03-09
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.91,2022-06-24
"JANE STREET GROUP, LLC",ATOS SE,FR0000051732,0.50,2023-08-22
MARSHALL WACE LLP,RENAULT,FR0000131906,1.72,2022-07-07
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,0.65,2019-07-31
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,2.07,2023-11-27
WHITEBOX ADVISORS LLC,EUROPCAR MOBILITY GROUP,FR0012789949,0.00,2021-01-29
PICTET ASSET MANAGEMENT SA,ILIAD,FR0004035913,0.43,2020-03-17
CAPITAL FUND MANAGEMENT,AIR FRANCE-KLM,FR001400J770,0.60,2023-11-02
RENAISSANCE TECHNOLOGIES LLC,TECHNIP,FR0000131708,0.76,2017-01-16
"SCULPTOR CAPITAL MANAGEMENT
EUROPE LIMITED",EUROFINS SCIENTIFIC SE,FR0014000MR3,0.44,2021-02-01
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,3.61,2023-06-02
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.64,2022-09-08
SCOPIA CAPITAL MANAGEMENT LP,RALLYE,FR0000060618,0.52,2018-10-22
GSA CAPITAL PARTNERS LLP,MC PHY ENERGY,FR0011742329,0.52,2023-10-06
CLEARANCE CAPITAL LIMITED,CARMILA,FR0010828137,0.47,2020-06-11
SCOPIA CAPITAL MANAGEMENT LP,RALLYE,FR0000060618,0.91,2019-03-14
